,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62
0,1.0,,District/City,Total Cases in District,Total,Updated Date,,07 July 2020,08 July 2020,09 July 2020,10 July 2020,11 July 2020,12 July 2020,13 July 2020,14 July 2020,15 July 2020,16 July 2020,17 July 2020,18 July 2020,19 July 2020,20 July 2020,21 July 2020,22 July 2020,23 July 2020,24 July 2020,25 July 2020,26 July 2020,27 July 2020,28 July 2020,29 July 2020,30 July 2020,31 July 2020,01 August 2020,02 August 2020,03 August 2020,04 August 2020,05 August 2020,06 August 2020,07 August 2020,08 August 2020,09 August 2020,10 August 2020,11 August 2020,12 August 2020,13 August 2020,14 August 2020,15 August 2020,16 August 2020,17 August 2020,18 August 2020,19 August 2020,20 August 2020,21 August 2020,22 August 2020,23 August 2020,24 August 2020,25 August 2020,26 August 2020,27 August 2020,28 August 2020,29 August 2020,30 August 2020,31 August 2020
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2.0,Dhaka,Dhaka City,66630,101952,08.08.2020,,,,,,,,,,,,,,,,57281,683,451,460,325,676,454,,757,970,750,541,274,374,586,535,531,,462,520,,,,,,,,,,,,,,,,,,,,,,
3,3.0,Dhaka,Dhaka (District),4050,101952,05.07.2020,,3391,6,23,98,9,23,51,25,33,24,19,26,7,26,27,24,21,23,8,16,22,11,10,19,27,0,0,2,5,12,21,19,10,12,,,,,,,,,,,,,,,,,,,,,,
4,4.0,Dhaka,Gazipur,4352,101952,09.08.2020,,3713,69,13,34,19,16,26,2,39,29,13,21,26,32,26,12,24,10,7,17,5,26,18,14,8,20,8,2,8,22,25,23,11,14,,,,,,,,,,,,,,,,,,,,,,
5,5.0,Dhaka,Kishoreganj,2167,101952,07.08.2020,,1677,10,21,19,12,10,19,9,14,19,13,23,16,14,13,18,11,12,13,14,18,7,23,23,10,0,21,14,18,9,15,18,18,16,,,,,,,,,,,,,,,,,,,,,,
6,6.0,Dhaka,Madaripur,1224,101952,05.08.2020,,832,0,30,0,25,0,26,0,62,0,24,0,17,0,21,0,11,0,27,0,0,9,20,0,26,4,0,18,0,0,12,,0,0,,,,,,,,,,,,,,,,,,,,,,
7,7.0,Dhaka,Manikganj,919,101952,06.07.2020,,631,0,0,78,7,0,0,15,17,16,,20,25,0,20,11,,,,0,18,0,5,1,0,17,0,0,25,0,4,9,0,0,,,,,,,,,,,,,,,,,,,,,,
8,8.0,Dhaka,Narayanganj,6033,101952,05.07.2020,,5385,39,33,45,37,23,30,26,42,15,23,21,22,16,15,7,16,5,11,5,14,24,17,18,18,17,0,7,8,22,21,12,25,14,,,,,,,,,,,,,,,,,,,,,,
9,9.0,Dhaka,Munshigonj,3210,101952,26.07.2020,,2658,0,50,18,30,5,47,27,25,20,21,29,5,15,12,11,3,25,17,3,25,28,8,30,30,14,0,0,0,4,20,,13,17,,,,,,,,,,,,,,,,,,,,,,
10,10.0,Dhaka,Narshingdi,1772,101952,07.08.2020,,0,0,20,18,3,0,,,17,11,2,7,11,10,23,7,5,5,9,5,12,7,11,0,3,5,7,4,6,5,3,0,13,7,,,,,,,,,,,,,,,,,,,,,,
11,11.0,Dhaka,Rajbari,1588,101952,09.08.2020,,563,40,11,27,21,0,40,0,30,23,34,0,29,23,30,39,35,37,0,64,41,0,37,44,39,0,45,0,79,0,20,62,35,142,,,,,,,,,,,,,,,,,,,,,,
12,12.0,Dhaka,Faridpur,5238,101952,09.08.2020,,2444,114,110,113,118,129,117,89,122,45,65,180,66,73,123,91,72,68,58,34,89,0,80,49,55,78,18,20,62,70,59,96,79,14,,,,,,,,,,,,,,,,,,,,,,
13,13.0,Dhaka,Tangail,1837,101952,09.08.2020,,793,44,15,31,7,25,50,34,31,12,56,14,28,49,36,46,0,77,55,0,60,52,41,38,44,8,44,0,7,25,20,51,42,2,,,,,,,,,,,,,,,,,,,,,,
14,14.0,Dhaka,Shariatpur,1139,101952,04.08.2020,,668,0,31,0,0,34,19,0,23,0,38,0,0,0,34,0,37,0,29,0,15,0,33,0,0,0,33,0,25,0,13,,62,,,,,,,,,,,,,,,,,,,,,,,
15,15.0,Dhaka,Gopalganj,1793,101952,05.08.2020,,799,27,29,33,15,31,37,24,42,23,30,18,42,30,30,34,32,33,16,39,35,37,28,47,50,0,14,17,28,57,48,,28,,,,,,,,,,,,,,,,,,,,,,,
16,16.0,Chattogram,Chattogram,15064,36583,09.08.2020,,10477,295,259,162,192,105,107,167,167,399,159,180,85,173,152,133,134,157,126,70,169,108,117,120,125,112,30,9,17,119,121,128,117,73,,,,,,,,,,,,,,,,,,,,,,
17,17.0,Chattogram,Cox’s bazar,3550,36583,09.08.2020,,2843,44,22,44,20,10,25,20,35,15,16,41,2,20,17,13,12,23,19,13,12,21,14,26,23,19,20,2,40,15,27,24,33,20,,,,,,,,,,,,,,,,,,,,,,
18,18.0,Chattogram,Cumilla,5823,36583,09.08.2020,,4025,61,81,57,86,54,110,91,50,83,67,49,0,99,40,47,30,47,31,65,35,72,80,47,52,47,22,48,18,30,55,48,47,49,,,,,,,,,,,,,,,,,,,,,,
19,19.0,Chattogram,B. Baria,1996,36583,09.08.2020,,1285,54,60,22,54,30,4,0,73,1,98,21,49,0,34,1,26,14,17,16,0,6,40,0,14,0,20,8,0,0,4,10,23,12,,,,,,,,,,,,,,,,,,,,,,
20,20.0,Chattogram,Khagrachari,550,36583,09.08.2020,,301,0,2,13,0,35,0,16,0,27,0,20,0,9,0,17,0,19,2,5,13,15,0,21,0,12,0,5,0,0,0,18,0,0,,,,,,,,,,,,,,,,,,,,,,
21,21.0,Chattogram,Laksmipur,1527,36583,09.08.2020,,976,0,6,27,27,32,21,8,26,23,26,13,0,16,29,16,10,0,30,0,25,15,22,16,0,53,0,18,0,7,30,29,26,0,,,,,,,,,,,,,,,,,,,,,,
22,22.0,Chattogram,Bandarban,595,36583,09.08.2020,,420,19,0,11,16,3,11,9,6,0,7,5,0,0,1,7,2,1,3,6,1,2,5,5,2,12,0,0,4,5,19,4,7,2,,,,,,,,,,,,,,,,,,,,,,
23,23.0,Chattogram,Rangamati,677,36583,09.08.2020,,385,7,4,22,0,24,0,9,0,18,0,26,0,16,0,32,0,33,0,14,1,11,0,18,0,31,0,6,0,0,0,20,0,0,,,,,,,,,,,,,,,,,,,,,,
24,24.0,Chattogram,Noakhali,3491,36583,09.08.2020,,2324,38,38,40,47,27,27,30,35,32,20,39,26,22,21,43,30,21,85,22,22,36,31,33,40,51,5,1,9,78,73,63,57,25,,,,,,,,,,,,,,,,,,,,,,
25,25.0,Chattogram,Feni,1400,36583,09.08.2020,,903,30,22,14,29,6,14,11,15,9,0,0,0,32,11,16,0,20,52,10,16,23,22,25,10,28,22,0,0,6,14,24,16,0,,,,,,,,,,,,,,,,,,,,,,
26,26.0,Chattogram,Chandpur,1910,36583,09.08.2020,,1101,86,7,37,5,15,34,14,42,25,16,40,35,4,28,30,51,7,17,38,51,3,9,91,32,13,14,8,3,11,8,15,20,0,,,,,,,,,,,,,,,,,,,,,,
27,27.0,Sylhet,Sylhet,4583,8497,8.08.2020,,60,58,40,41,34,28,55,50,43,53,52,86,21,70,122,91,74,89,58,48,48,46,43,35,37,63,55,54,50,21,41,69,39,,,,,,,,,,,,,,,,,,,,,,,
